Fases de Investimento,N.. Participacoes (1) SCR,Valor SCR,% SCR,N.. Participacoes (1) FCR,Valor FCR,% FCR,N.. Participacoes Total,Valor Total,% Total
Expansao,44,55.4,0.3295657347,175,246.8,0.3396174487,219,302.2,0.3377291015
Start-Up,65,11.8,0.07019631172,289,190.6,0.2622815467,354,202.4,0.2261957979
Management-buy-out,17,17.5,0.1041046996,46,117.1,0.1611393973,63,134.6,0.1504246759
Outros,23,57.5,0.3420582986,10,19,0.02614558965,33,76.5,0.08549396513
Capital de substituicao,17,14.4,0.08566329566,16,56.1,0.07719829366,33,70.5,0.0787885561
Early-Stage,11,10.4,0.06186793575,22,26.9,0.03701665061,33,37.3,0.0416852928
Management-buy-in,0,0,0,12,36.4,0.05008944544,12,36.4,0.04067948145
Seed Capital,4,0,0,27,22.7,0.03123709922,31,22.7,0.0253687975
Turnaround,10,1.1,0.006543723974,11,7.7,0.01059584423,21,8.8,0.009834599911
Refinanciamento da divida bancaria,0,0,0,2,3.4,0.004678684464,2,3.4,0.003799731784
Total,191,168.1,1,610,726.7,1,801,894.8,1
