,Aquisicoes SCR,Alienacoes SCR,Investimento Liquido SCR,N.. Transaccoes SCR,Aquisicoes FCR,Alienacoes FCR,Investimento Liquido FCR,N.. Transaccoes FCR,Aquisicoes Total,Alienacoes Total,Investimento Liquido Total,N.. Transaccoes Total
Start-Up,1156.3,298.5,857.8,9,75070.1,9232.8,65837.3,95,76226.4,9531.3,85757.7,104
Management-buy-out,0,0,0,0,75070.1,1488.5,73581.6,14,75070.1,1488.5,76558.6,14
Expansao,17530.2,4147,13383.2,17,59633.5,49104.1,10529.4,75,77163.7,53251.1,130414.8,92
Early-Stage,9117.9,0,9117.9,5,4913.2,1112.8,3800.4,14,14031.1,1112.8,15143.9,19
Outros,7694.3,937.8,6756.5,14,2763.6,0,2763.6,6,10457.9,937.8,11395.7,20
Seed Capital,0,0,0,0,9287.9,393.1,8894.8,8,9287.9,393.1,9681,8
Management-buy-in,0,0,0,0,5833.9,1021.4,4812.5,7,5833.9,1021.4,6855.3,7
Turnaround,0,0,0,0,3750,0.1,3749.9,2,3750,0.1,3750.1,2
Refinanciamento da divida bancaria,0,0,0,0,0,0,0,0,0,0,0,0
Capital de substituicao,530.5,694.5,-164,15,0,184.5,-184.5,2,530.5,879,1409.5,17
Total,36029.2,6077.8,29951.4,60,236322.3,62537.3,173785,223,272351.5,68615.1,340966.6,283
